Year,City,YP_Section,Name,Address,Cuisine
1996,Scarborough,Restaurants,ellas rest banquet & catering,35 danforth rd,
1996,Scarborough,Restaurants,el-noor cuisine,1967 lawrence av e,ethnic
1996,Scarborough,Restaurants,embassy rest and donuts,5210 finch e,
1996,Scarborough,Restaurants,embers the banquet specialists,781 warden,
1996,Scarborough,Restaurants,etich's goulash & schnitzel house,1176 kennedy,
1996,Scarborough,Restaurants,esquire rest,2581 victoria park,
1996,Scarborough,Restaurants,eul leung do rest,1979 lawrence av e,
1996,Scarborough,Restaurants,ervergo seafood rest,3833 midland,
1996,Scarborough,Restaurants,everything taste nice,2433 eglinton e,
1996,Scarborough,Restaurants,excellent cafe,3850 finch e,
1996,Scarborough,Restaurants,express time take-out,305 port union rd,
1996,Scarborough,Restaurants,Fantastic Seafood Restaurant,4002 Sheppard Av E,
1996,Scarborough,Restaurants,Fantasy Eatery ,3320 Midland,
1996,Scarborough,Restaurants,Farhat Restaurant,2020 Lawrence Av E,
1996,Scarborough,Restaurants,Fazio's Restaurant Corp Ltd,33 Simcoe S,
1996,Scarborough,Restaurants,Feathers Fish and Chips,4630 Kingston Rd,
1996,Scarborough,Restaurants,Frederick Restaurant,1920 Ellesmere,
1996,Scarborough,Restaurants,Fiddlers Elbow,3227 Eglinton E,
1996,Scarborough,Restaurants,Fish House,2035 Sheppard E,
1996,Scarborough,Restaurants,Fish House,144 Front W,
1996,Scarborough,Restaurants,Fish Joy,1179 Brimley,
1996,Scarborough,Restaurants,Flipper's FIsh House,2300 Lawrence Av E,
1996,Scarborough,Restaurants,Flying Scot,790 Military Trl,
1996,Scarborough,Restaurants,Fong's Restaurant,2412 Eglinton E,
1996,Scarborough,Restaurants,Fortune Stone Express,355 Bamburgh Cir,
1996,Scarborough,Restaurants,Fossil & Haggas Pub & Grub,790 Military Trl,
1996,Scarborough,Restaurants,4 Friends,2118 Bridletown Cir,
1996,Scarborough,Restaurants,Frankie Tomatto's,7225 Woodbine,
1996,Scarborough,Restaurants,Friendly Greek,1415 Kennedy,
1996,Scarborough,Restaurants,Front Page Restaurant,4186 Finch E,
1996,Scarborough,Restaurants,Fu Manchu CHinese Food,2655 Eglinton E,
